V1	I(D1)
-3.040000000000000e+00	-2.523040e-09
-3.030000000000000e+00	-2.523030e-09
-3.020000000000000e+00	-2.523020e-09
-3.010000000000000e+00	-2.523011e-09
-3.000000000000000e+00	-2.523001e-09
-2.990000000000000e+00	-2.522990e-09
-2.980000000000000e+00	-2.522980e-09
-2.970000000000000e+00	-2.522970e-09
-2.960000000000000e+00	-2.522961e-09
-2.950000000000000e+00	-2.522951e-09
-2.940000000000000e+00	-2.522940e-09
-2.930000000000000e+00	-2.522930e-09
-2.920000000000000e+00	-2.522920e-09
-2.910000000000000e+00	-2.522911e-09
-2.900000000000000e+00	-2.522901e-09
-2.890000000000000e+00	-2.522890e-09
-2.880000000000000e+00	-2.522880e-09
-2.870000000000000e+00	-2.522870e-09
-2.860000000000000e+00	-2.522861e-09
-2.850000000000000e+00	-2.522850e-09
-2.840000000000000e+00	-2.522840e-09
-2.830000000000000e+00	-2.522830e-09
-2.820000000000000e+00	-2.522820e-09
-2.810000000000000e+00	-2.522811e-09
-2.800000000000000e+00	-2.522800e-09
-2.790000000000000e+00	-2.522790e-09
-2.780000000000000e+00	-2.522780e-09
-2.770000000000000e+00	-2.522771e-09
-2.760000000000000e+00	-2.522761e-09
-2.750000000000000e+00	-2.522750e-09
-2.740000000000000e+00	-2.522740e-09
-2.730000000000000e+00	-2.522730e-09
-2.720000000000000e+00	-2.522721e-09
-2.710000000000000e+00	-2.522710e-09
-2.700000000000000e+00	-2.522700e-09
-2.690000000000000e+00	-2.522690e-09
-2.680000000000000e+00	-2.522680e-09
-2.670000000000000e+00	-2.522671e-09
-2.660000000000000e+00	-2.522661e-09
-2.650000000000000e+00	-2.522650e-09
-2.640000000000000e+00	-2.522640e-09
-2.630000000000000e+00	-2.522630e-09
-2.620000000000000e+00	-2.522621e-09
-2.610000000000000e+00	-2.522610e-09
-2.600000000000000e+00	-2.522600e-09
-2.590000000000000e+00	-2.522590e-09
-2.580000000000000e+00	-2.522580e-09
-2.570000000000000e+00	-2.522571e-09
-2.560000000000000e+00	-2.522560e-09
-2.550000000000000e+00	-2.522550e-09
-2.540000000000000e+00	-2.522540e-09
-2.530000000000000e+00	-2.522531e-09
-2.520000000000000e+00	-2.522521e-09
-2.510000000000000e+00	-2.522510e-09
-2.500000000000000e+00	-2.522500e-09
-2.490000000000000e+00	-2.522490e-09
-2.480000000000000e+00	-2.522481e-09
-2.470000000000000e+00	-2.522470e-09
-2.460000000000000e+00	-2.522460e-09
-2.450000000000000e+00	-2.522450e-09
-2.440000000000000e+00	-2.522440e-09
-2.430000000000000e+00	-2.522431e-09
-2.420000000000000e+00	-2.522420e-09
-2.410000000000000e+00	-2.522410e-09
-2.400000000000000e+00	-2.522400e-09
-2.390000000000000e+00	-2.522390e-09
-2.380000000000000e+00	-2.522381e-09
-2.370000000000000e+00	-2.522370e-09
-2.360000000000000e+00	-2.522360e-09
-2.350000000000000e+00	-2.522350e-09
-2.340000000000000e+00	-2.522340e-09
-2.330000000000000e+00	-2.522331e-09
-2.320000000000000e+00	-2.522320e-09
-2.310000000000000e+00	-2.522310e-09
-2.300000000000000e+00	-2.522300e-09
-2.290000000000000e+00	-2.522290e-09
-2.280000000000000e+00	-2.522281e-09
-2.270000000000000e+00	-2.522270e-09
-2.260000000000000e+00	-2.522260e-09
-2.250000000000000e+00	-2.522250e-09
-2.240000000000000e+00	-2.522241e-09
-2.230000000000000e+00	-2.522230e-09
-2.220000000000000e+00	-2.522220e-09
-2.210000000000000e+00	-2.522210e-09
-2.200000000000000e+00	-2.522200e-09
-2.190000000000000e+00	-2.522191e-09
-2.180000000000000e+00	-2.522180e-09
-2.170000000000000e+00	-2.522170e-09
-2.160000000000000e+00	-2.522160e-09
-2.150000000000000e+00	-2.522150e-09
-2.140000000000000e+00	-2.522140e-09
-2.130000000000000e+00	-2.522130e-09
-2.120000000000000e+00	-2.522120e-09
-2.110000000000000e+00	-2.522110e-09
-2.100000000000000e+00	-2.522100e-09
-2.090000000000000e+00	-2.522091e-09
-2.080000000000000e+00	-2.522080e-09
-2.070000000000000e+00	-2.522070e-09
-2.060000000000000e+00	-2.522060e-09
-2.050000000000000e+00	-2.522050e-09
-2.040000000000000e+00	-2.522041e-09
-2.030000000000000e+00	-2.522030e-09
-2.020000000000000e+00	-2.522020e-09
-2.010000000000000e+00	-2.522010e-09
-2.000000000000000e+00	-2.522000e-09
-1.990000000000000e+00	-2.521990e-09
-1.980000000000000e+00	-2.521980e-09
-1.970000000000000e+00	-2.521970e-09
-1.960000000000000e+00	-2.521960e-09
-1.950000000000000e+00	-2.521950e-09
-1.940000000000000e+00	-2.521940e-09
-1.930000000000000e+00	-2.521930e-09
-1.920000000000000e+00	-2.521920e-09
-1.910000000000000e+00	-2.521910e-09
-1.900000000000000e+00	-2.521900e-09
-1.890000000000000e+00	-2.521890e-09
-1.880000000000000e+00	-2.521880e-09
-1.870000000000000e+00	-2.521870e-09
-1.860000000000000e+00	-2.521860e-09
-1.850000000000000e+00	-2.521850e-09
-1.840000000000000e+00	-2.521840e-09
-1.830000000000000e+00	-2.521830e-09
-1.820000000000000e+00	-2.521820e-09
-1.810000000000000e+00	-2.521810e-09
-1.800000000000000e+00	-2.521800e-09
-1.790000000000000e+00	-2.521790e-09
-1.780000000000000e+00	-2.521780e-09
-1.770000000000000e+00	-2.521770e-09
-1.760000000000000e+00	-2.521760e-09
-1.750000000000000e+00	-2.521750e-09
-1.740000000000000e+00	-2.521740e-09
-1.730000000000000e+00	-2.521730e-09
-1.720000000000000e+00	-2.521720e-09
-1.710000000000000e+00	-2.521710e-09
-1.700000000000000e+00	-2.521700e-09
-1.690000000000000e+00	-2.521690e-09
-1.680000000000000e+00	-2.521680e-09
-1.670000000000000e+00	-2.521670e-09
-1.660000000000000e+00	-2.521660e-09
-1.650000000000000e+00	-2.521650e-09
-1.640000000000000e+00	-2.521640e-09
-1.630000000000000e+00	-2.521630e-09
-1.620000000000000e+00	-2.521620e-09
-1.610000000000000e+00	-2.521610e-09
-1.600000000000000e+00	-2.521600e-09
-1.590000000000000e+00	-2.521590e-09
-1.580000000000000e+00	-2.521580e-09
-1.570000000000000e+00	-2.521570e-09
-1.560000000000000e+00	-2.521560e-09
-1.550000000000000e+00	-2.521550e-09
-1.540000000000000e+00	-2.521540e-09
-1.530000000000000e+00	-2.521530e-09
-1.520000000000000e+00	-2.521520e-09
-1.510000000000000e+00	-2.521510e-09
-1.500000000000000e+00	-2.521500e-09
-1.490000000000000e+00	-2.521490e-09
-1.480000000000000e+00	-2.521480e-09
-1.470000000000000e+00	-2.521470e-09
-1.460000000000000e+00	-2.521460e-09
-1.450000000000000e+00	-2.521450e-09
-1.440000000000000e+00	-2.521440e-09
-1.430000000000000e+00	-2.521430e-09
-1.420000000000000e+00	-2.521420e-09
-1.410000000000000e+00	-2.521410e-09
-1.400000000000000e+00	-2.521400e-09
-1.390000000000000e+00	-2.521390e-09
-1.380000000000000e+00	-2.521380e-09
-1.370000000000000e+00	-2.521370e-09
-1.360000000000000e+00	-2.521360e-09
-1.350000000000000e+00	-2.521350e-09
-1.340000000000000e+00	-2.521340e-09
-1.330000000000000e+00	-2.521330e-09
