V1	Ix(D1:+)
-9.000000000000004e-01	-9.100000e-13
-8.899999999999997e-01	-9.000000e-13
-8.799999999999999e-01	-8.900000e-13
-8.700000000000001e-01	-8.800000e-13
-8.600000000000003e-01	-8.700000e-13
-8.499999999999996e-01	-8.600000e-13
-8.399999999999999e-01	-8.500000e-13
-8.300000000000001e-01	-8.400000e-13
-8.200000000000003e-01	-8.300000e-13
-8.099999999999996e-01	-8.200000e-13
-7.999999999999998e-01	-8.100000e-13
-7.900000000000000e-01	-8.000000e-13
-7.800000000000002e-01	-7.900000e-13
-7.699999999999996e-01	-7.800000e-13
-7.599999999999998e-01	-7.700000e-13
-7.500000000000000e-01	-7.600000e-13
-7.400000000000002e-01	-7.500000e-13
-7.299999999999995e-01	-7.400000e-13
-7.199999999999998e-01	-7.300000e-13
-7.100000000000000e-01	-7.200000e-13
-7.000000000000002e-01	-7.100000e-13
-6.899999999999995e-01	-7.000000e-13
-6.799999999999997e-01	-6.900000e-13
-6.699999999999999e-01	-6.800000e-13
-6.600000000000001e-01	-6.700000e-13
-6.499999999999995e-01	-6.600000e-13
-6.399999999999997e-01	-6.500000e-13
-6.299999999999999e-01	-6.400000e-13
-6.200000000000001e-01	-6.300000e-13
-6.100000000000003e-01	-6.200000e-13
-5.999999999999996e-01	-6.100000e-13
-5.899999999999999e-01	-6.000000e-13
-5.800000000000001e-01	-5.900000e-13
-5.700000000000003e-01	-5.800000e-13
-5.599999999999996e-01	-5.700000e-13
-5.499999999999998e-01	-5.600000e-13
-5.400000000000000e-01	-5.500000e-13
-5.300000000000002e-01	-5.400000e-13
-5.199999999999996e-01	-5.300000e-13
-5.099999999999998e-01	-5.200000e-13
-5.000000000000000e-01	-5.100000e-13
-4.900000000000002e-01	-5.000000e-13
-4.799999999999995e-01	-4.900000e-13
-4.699999999999998e-01	-4.800000e-13
-4.600000000000000e-01	-4.700000e-13
-4.500000000000002e-01	-4.600000e-13
-4.399999999999995e-01	-4.500000e-13
-4.299999999999997e-01	-4.400000e-13
-4.199999999999999e-01	-4.300000e-13
-4.100000000000001e-01	-4.200000e-13
-3.999999999999995e-01	-4.100000e-13
-3.899999999999997e-01	-4.000000e-13
-3.799999999999999e-01	-3.900000e-13
-3.700000000000001e-01	-3.800000e-13
-3.600000000000003e-01	-3.700000e-13
-3.499999999999996e-01	-3.600000e-13
-3.399999999999999e-01	-3.500000e-13
-3.300000000000001e-01	-3.400000e-13
-3.200000000000003e-01	-3.300000e-13
-3.099999999999996e-01	-3.199999e-13
-2.999999999999998e-01	-3.099999e-13
-2.900000000000000e-01	-2.999999e-13
-2.800000000000002e-01	-2.899998e-13
-2.699999999999996e-01	-2.799997e-13
-2.599999999999998e-01	-2.699996e-13
-2.500000000000000e-01	-2.599994e-13
-2.400000000000002e-01	-2.499991e-13
-2.299999999999995e-01	-2.399986e-13
-2.199999999999998e-01	-2.299980e-13
-2.100000000000000e-01	-2.199970e-13
-2.000000000000002e-01	-2.099956e-13
-1.899999999999995e-01	-1.999935e-13
-1.799999999999997e-01	-1.899905e-13
-1.699999999999999e-01	-1.799860e-13
-1.600000000000001e-01	-1.699794e-13
-1.499999999999995e-01	-1.599697e-13
-1.399999999999997e-01	-1.499554e-13
-1.299999999999999e-01	-1.399344e-13
-1.200000000000001e-01	-1.299034e-13
-1.100000000000003e-01	-1.198578e-13
-9.999999999999964e-02	-1.097906e-13
-8.999999999999986e-02	-9.969181e-14
-8.000000000000007e-02	-8.954634e-14
-7.000000000000028e-02	-7.933221e-14
-5.999999999999961e-02	-6.901701e-14
-4.999999999999982e-02	-5.855304e-14
-4.000000000000004e-02	-4.787007e-14
-3.000000000000025e-02	-3.686473e-14
-1.999999999999957e-02	-2.538488e-14
-9.999999999999787e-03	-1.320653e-14
0.000000000000000e+00	-0.000000e+00
9.999999999999787e-03	1.472002e-14
2.000000000000046e-02	3.166791e-14
3.000000000000025e-02	5.189521e-14
4.000000000000004e-02	7.694982e-14
4.999999999999982e-02	1.091102e-13
6.000000000000050e-02	1.517304e-13
7.000000000000028e-02	2.097474e-13
8.000000000000007e-02	2.904285e-13
8.999999999999986e-02	4.044713e-13
1.000000000000005e-01	5.676225e-13
1.100000000000003e-01	8.030613e-13
1.200000000000001e-01	1.144908e-12
1.299999999999999e-01	1.643387e-12
1.399999999999997e-01	2.372429e-12
1.500000000000004e-01	3.440860e-12
1.600000000000001e-01	5.008874e-12
1.699999999999999e-01	7.312272e-12
1.799999999999997e-01	1.069816e-11
1.900000000000004e-01	1.567748e-11
2.000000000000002e-01	2.300232e-11
2.100000000000000e-01	3.377978e-11
2.199999999999998e-01	4.963951e-11
2.300000000000004e-01	7.298034e-11
2.400000000000002e-01	1.073334e-10
2.500000000000000e-01	1.578963e-10
2.599999999999998e-01	2.323203e-10
2.700000000000005e-01	3.418677e-10
2.800000000000002e-01	5.031167e-10
2.900000000000000e-01	7.404702e-10
2.999999999999998e-01	1.089849e-09
3.100000000000005e-01	1.604126e-09
3.200000000000003e-01	2.361132e-09
3.300000000000001e-01	3.475426e-09
3.399999999999999e-01	5.115629e-09
3.500000000000005e-01	7.529930e-09
3.600000000000003e-01	1.108362e-08
3.700000000000001e-01	1.631430e-08
3.799999999999999e-01	2.401309e-08
3.899999999999997e-01	3.534407e-08
4.000000000000004e-01	5.201967e-08
4.100000000000001e-01	7.655837e-08
4.199999999999999e-01	1.126625e-07
4.299999999999997e-01	1.657711e-07
4.400000000000004e-01	2.438680e-07
4.500000000000002e-01	3.586555e-07
4.600000000000000e-01	5.272537e-07
4.699999999999998e-01	7.746353e-07
4.800000000000004e-01	1.137073e-06
4.900000000000002e-01	1.666931e-06
5.000000000000000e-01	2.439119e-06
5.099999999999998e-01	3.559420e-06
5.200000000000005e-01	5.174451e-06
5.300000000000002e-01	7.482099e-06
5.400000000000000e-01	1.073972e-05
5.499999999999998e-01	1.526530e-05
5.600000000000005e-01	2.142546e-05
5.700000000000003e-01	2.960565e-05
5.800000000000001e-01	4.016401e-05
5.899999999999999e-01	5.338007e-05
6.000000000000005e-01	6.941542e-05
6.100000000000003e-01	8.830037e-05
6.200000000000001e-01	1.099480e-04
6.299999999999999e-01	1.341859e-04
6.399999999999997e-01	1.607925e-04
6.500000000000004e-01	1.895276e-04
6.600000000000001e-01	2.201537e-04
6.699999999999999e-01	2.524488e-04
6.799999999999997e-01	2.862125e-04
6.900000000000004e-01	3.212678e-04
7.000000000000002e-01	3.574603e-04
7.100000000000000e-01	3.946563e-04
7.199999999999998e-01	4.327408e-04
7.300000000000004e-01	4.716144e-04
7.400000000000002e-01	5.111918e-04
7.500000000000000e-01	5.513991e-04
7.599999999999998e-01	5.921723e-04
7.700000000000005e-01	6.334560e-04
7.800000000000002e-01	6.752018e-04
7.900000000000000e-01	7.173672e-04
7.999999999999998e-01	7.599152e-04
8.100000000000005e-01	8.028130e-04
8.200000000000003e-01	8.460315e-04
8.300000000000001e-01	8.895451e-04
8.399999999999999e-01	9.333309e-04
8.500000000000005e-01	9.773683e-04
8.600000000000003e-01	1.021639e-03
8.700000000000001e-01	1.066127e-03
8.799999999999999e-01	1.110816e-03
8.899999999999997e-01	1.155694e-03
9.000000000000004e-01	1.200748e-03
9.100000000000001e-01	1.245967e-03
9.199999999999999e-01	1.291341e-03
9.299999999999997e-01	1.336861e-03
9.400000000000004e-01	1.382518e-03
9.500000000000002e-01	1.428304e-03
9.600000000000000e-01	1.474213e-03
9.699999999999998e-01	1.520237e-03
9.800000000000004e-01	1.566371e-03
9.900000000000002e-01	1.612608e-03
1.000000000000000e+00	1.658945e-03
1.010000000000000e+00	1.705375e-03
1.020000000000000e+00	1.751894e-03
1.030000000000000e+00	1.798499e-03
1.040000000000000e+00	1.845185e-03
1.050000000000000e+00	1.891948e-03
1.060000000000000e+00	1.938785e-03
1.070000000000000e+00	1.985694e-03
1.080000000000000e+00	2.032670e-03
1.090000000000000e+00	2.079711e-03
1.100000000000001e+00	2.126815e-03
1.110000000000000e+00	2.173978e-03
1.120000000000000e+00	2.221199e-03
