V1	V(N002,N003)	I(D1)
-2.840000000000000e+00	-2.839999e+00	-2.522840e-09
-2.830000000000000e+00	-2.829999e+00	-2.522830e-09
-2.820000000000000e+00	-2.819999e+00	-2.522820e-09
-2.810000000000000e+00	-2.809999e+00	-2.522810e-09
-2.800000000000000e+00	-2.799999e+00	-2.522800e-09
-2.790000000000000e+00	-2.789999e+00	-2.522790e-09
-2.780000000000000e+00	-2.779999e+00	-2.522780e-09
-2.770000000000000e+00	-2.770000e+00	-2.522770e-09
-2.760000000000000e+00	-2.760000e+00	-2.522760e-09
-2.750000000000000e+00	-2.750000e+00	-2.522750e-09
-2.740000000000000e+00	-2.740000e+00	-2.522740e-09
-2.730000000000000e+00	-2.730000e+00	-2.522730e-09
-2.720000000000000e+00	-2.720000e+00	-2.522720e-09
-2.710000000000000e+00	-2.710000e+00	-2.522710e-09
-2.700000000000000e+00	-2.700000e+00	-2.522700e-09
-2.690000000000000e+00	-2.690000e+00	-2.522690e-09
-2.680000000000000e+00	-2.680000e+00	-2.522680e-09
-2.670000000000000e+00	-2.670000e+00	-2.522670e-09
-2.660000000000000e+00	-2.660000e+00	-2.522660e-09
-2.650000000000000e+00	-2.649999e+00	-2.522650e-09
-2.640000000000000e+00	-2.639999e+00	-2.522640e-09
-2.630000000000000e+00	-2.629999e+00	-2.522630e-09
-2.620000000000000e+00	-2.619999e+00	-2.522620e-09
-2.610000000000000e+00	-2.609999e+00	-2.522610e-09
-2.600000000000000e+00	-2.599999e+00	-2.522600e-09
-2.590000000000000e+00	-2.589999e+00	-2.522590e-09
-2.580000000000000e+00	-2.579999e+00	-2.522580e-09
-2.570000000000000e+00	-2.569999e+00	-2.522570e-09
-2.560000000000000e+00	-2.559999e+00	-2.522560e-09
-2.550000000000000e+00	-2.549999e+00	-2.522550e-09
-2.540000000000000e+00	-2.539999e+00	-2.522540e-09
-2.530000000000000e+00	-2.529999e+00	-2.522530e-09
-2.520000000000000e+00	-2.520000e+00	-2.522520e-09
-2.510000000000000e+00	-2.510000e+00	-2.522510e-09
-2.500000000000000e+00	-2.500000e+00	-2.522500e-09
-2.490000000000000e+00	-2.490000e+00	-2.522490e-09
-2.480000000000000e+00	-2.480000e+00	-2.522480e-09
-2.470000000000000e+00	-2.470000e+00	-2.522470e-09
-2.460000000000000e+00	-2.460000e+00	-2.522460e-09
-2.450000000000000e+00	-2.450000e+00	-2.522450e-09
-2.440000000000000e+00	-2.440000e+00	-2.522440e-09
-2.430000000000000e+00	-2.430000e+00	-2.522430e-09
-2.420000000000000e+00	-2.420000e+00	-2.522420e-09
-2.410000000000000e+00	-2.410000e+00	-2.522410e-09
-2.400000000000000e+00	-2.399999e+00	-2.522400e-09
-2.390000000000000e+00	-2.389999e+00	-2.522390e-09
-2.380000000000000e+00	-2.379999e+00	-2.522380e-09
-2.370000000000000e+00	-2.369999e+00	-2.522370e-09
-2.360000000000000e+00	-2.359999e+00	-2.522360e-09
-2.350000000000000e+00	-2.349999e+00	-2.522350e-09
-2.340000000000000e+00	-2.339999e+00	-2.522340e-09
-2.330000000000000e+00	-2.329999e+00	-2.522330e-09
