time	V(N003,N002)
2.742592031860787e-02	2.841000e+00
2.767006094360787e-02	2.702495e+00
2.791420156860787e-02	2.569850e+00
2.815834219360787e-02	2.443472e+00
2.840248281860787e-02	2.323259e+00
2.864662344360787e-02	2.208952e+00
2.889076406860787e-02	2.100268e+00
2.913490469360787e-02	1.996932e+00
2.937904531860787e-02	1.898680e+00
2.962318594360787e-02	1.805261e+00
2.986732656860787e-02	1.716440e+00
3.011146719360787e-02	1.631988e+00
3.035560781860787e-02	1.551692e+00
3.059974844360787e-02	1.475346e+00
3.084388906860787e-02	1.402758e+00
3.108802969360787e-02	1.333901e+00
3.133217031860787e-02	1.269337e+00
3.145453624936669e-02	1.242167e+00
3.153951906039502e-02	1.233344e+00
3.160925664153460e-02	1.243744e+00
3.167885617855044e-02	1.278525e+00
3.173240105640414e-02	1.324447e+00
3.180066677910105e-02	1.400974e+00
3.189869444293624e-02	1.522541e+00
3.199863236800803e-02	1.649362e+00
3.229043823874243e-02	2.005315e+00
3.253457886374243e-02	2.283511e+00
3.277871948874243e-02	2.542569e+00
3.302286011374243e-02	2.779829e+00
3.326700073874243e-02	2.993940e+00
3.351114136374243e-02	3.183717e+00
3.375528198874243e-02	3.348130e+00
3.399942261374243e-02	3.486330e+00
3.424356323874243e-02	3.597651e+00
3.448770386374243e-02	3.681628e+00
3.473184448874243e-02	3.738013e+00
3.497598511374243e-02	3.766802e+00
3.522012573874243e-02	3.768261e+00
3.546426636374243e-02	3.742983e+00
3.570840698874243e-02	3.691962e+00
3.595254761374243e-02	3.616732e+00
3.619668823874243e-02	3.519532e+00
3.644082886374243e-02	3.403502e+00
3.668496948874243e-02	3.272852e+00
3.692911011374243e-02	3.132788e+00
3.717325073874243e-02	2.988868e+00
3.741739136374243e-02	2.845931e+00
3.766153198874243e-02	2.707241e+00
3.790567261374243e-02	2.574379e+00
3.814981323874243e-02	2.447782e+00
3.839395386374243e-02	2.327358e+00
3.863809448874243e-02	2.212849e+00
3.888223511374243e-02	2.103974e+00
3.912637573874243e-02	2.000455e+00
3.937051636374243e-02	1.902029e+00
3.961465698874243e-02	1.808447e+00
3.985879761374243e-02	1.719468e+00
4.010293823874243e-02	1.634867e+00
4.034707886374243e-02	1.554429e+00
4.059121948874243e-02	1.477949e+00
4.083536011374243e-02	1.405233e+00
4.107950073874243e-02	1.336230e+00
4.132364136374243e-02	1.271191e+00
4.143892256815905e-02	1.244712e+00
4.152695979729452e-02	1.232927e+00
4.159279132179373e-02	1.238215e+00
4.165900548812948e-02	1.264749e+00
4.171257639237801e-02	1.305626e+00
4.178281847396809e-02	1.379826e+00
4.185709472818692e-02	1.469803e+00
4.193763583665328e-02	1.571978e+00
4.203973567554924e-02	1.701061e+00
4.218517973037069e-02	1.879597e+00
4.242932035537069e-02	2.165459e+00
4.267346098037069e-02	2.433467e+00
4.291760160537069e-02	2.680300e+00
