V1	V(n002)	I(D1)
-2.650000000000000e+00	-2.649999e+00	-2.522650e-09
-2.640000000000000e+00	-2.639999e+00	-2.522640e-09
-2.630000000000000e+00	-2.629999e+00	-2.522630e-09
-2.620000000000000e+00	-2.619999e+00	-2.522621e-09
-2.610000000000000e+00	-2.609999e+00	-2.522610e-09
-2.600000000000000e+00	-2.599999e+00	-2.522600e-09
-2.590000000000000e+00	-2.589999e+00	-2.522590e-09
-2.580000000000000e+00	-2.579999e+00	-2.522580e-09
-2.570000000000000e+00	-2.569999e+00	-2.522571e-09
-2.560000000000000e+00	-2.559999e+00	-2.522560e-09
-2.550000000000000e+00	-2.549999e+00	-2.522550e-09
-2.540000000000000e+00	-2.539999e+00	-2.522540e-09
-2.530000000000000e+00	-2.529999e+00	-2.522531e-09
-2.520000000000000e+00	-2.520000e+00	-2.522521e-09
-2.510000000000000e+00	-2.510000e+00	-2.522510e-09
-2.500000000000000e+00	-2.500000e+00	-2.522500e-09
-2.490000000000000e+00	-2.490000e+00	-2.522490e-09
-2.480000000000000e+00	-2.480000e+00	-2.522481e-09
-2.470000000000000e+00	-2.470000e+00	-2.522470e-09
-2.460000000000000e+00	-2.460000e+00	-2.522460e-09
-2.450000000000000e+00	-2.450000e+00	-2.522450e-09
-2.440000000000000e+00	-2.440000e+00	-2.522440e-09
-2.430000000000000e+00	-2.430000e+00	-2.522431e-09
-2.420000000000000e+00	-2.420000e+00	-2.522420e-09
-2.410000000000000e+00	-2.410000e+00	-2.522410e-09
-2.400000000000000e+00	-2.399999e+00	-2.522400e-09
-2.390000000000000e+00	-2.389999e+00	-2.522390e-09
-2.380000000000000e+00	-2.379999e+00	-2.522381e-09
-2.370000000000000e+00	-2.369999e+00	-2.522370e-09
-2.360000000000000e+00	-2.359999e+00	-2.522360e-09
-2.350000000000000e+00	-2.349999e+00	-2.522350e-09
-2.340000000000000e+00	-2.339999e+00	-2.522340e-09
-2.330000000000000e+00	-2.329999e+00	-2.522331e-09
-2.320000000000000e+00	-2.319999e+00	-2.522320e-09
-2.310000000000000e+00	-2.309999e+00	-2.522310e-09
-2.300000000000000e+00	-2.299999e+00	-2.522300e-09
-2.290000000000000e+00	-2.289999e+00	-2.522290e-09
-2.280000000000000e+00	-2.279999e+00	-2.522281e-09
-2.270000000000000e+00	-2.270000e+00	-2.522270e-09
-2.260000000000000e+00	-2.260000e+00	-2.522260e-09
-2.250000000000000e+00	-2.250000e+00	-2.522250e-09
-2.240000000000000e+00	-2.240000e+00	-2.522241e-09
-2.230000000000000e+00	-2.230000e+00	-2.522230e-09
-2.220000000000000e+00	-2.220000e+00	-2.522220e-09
-2.210000000000000e+00	-2.210000e+00	-2.522210e-09
-2.200000000000000e+00	-2.200000e+00	-2.522200e-09
-2.190000000000000e+00	-2.190000e+00	-2.522191e-09
-2.180000000000000e+00	-2.180000e+00	-2.522180e-09
-2.170000000000000e+00	-2.170000e+00	-2.522170e-09
-2.160000000000000e+00	-2.160000e+00	-2.522160e-09
-2.150000000000000e+00	-2.149999e+00	-2.522150e-09
-2.140000000000000e+00	-2.139999e+00	-2.522140e-09
-2.130000000000000e+00	-2.129999e+00	-2.522130e-09
-2.120000000000000e+00	-2.119999e+00	-2.522120e-09
-2.110000000000000e+00	-2.109999e+00	-2.522110e-09
-2.100000000000000e+00	-2.099999e+00	-2.522100e-09
-2.090000000000000e+00	-2.089999e+00	-2.522091e-09
-2.080000000000000e+00	-2.079999e+00	-2.522080e-09
-2.070000000000000e+00	-2.069999e+00	-2.522070e-09
-2.060000000000000e+00	-2.059999e+00	-2.522060e-09
-2.050000000000000e+00	-2.049999e+00	-2.522050e-09
-2.040000000000000e+00	-2.039999e+00	-2.522041e-09
-2.030000000000000e+00	-2.029999e+00	-2.522030e-09
-2.020000000000000e+00	-2.020000e+00	-2.522020e-09
-2.010000000000000e+00	-2.010000e+00	-2.522010e-09
-2.000000000000000e+00	-2.000000e+00	-2.522000e-09
-1.990000000000000e+00	-1.990000e+00	-2.521990e-09
-1.980000000000000e+00	-1.980000e+00	-2.521980e-09
-1.970000000000000e+00	-1.970000e+00	-2.521970e-09
-1.960000000000000e+00	-1.959999e+00	-2.521960e-09
-1.950000000000000e+00	-1.949999e+00	-2.521950e-09
-1.940000000000000e+00	-1.939999e+00	-2.521940e-09
-1.930000000000000e+00	-1.929999e+00	-2.521930e-09
-1.920000000000000e+00	-1.919999e+00	-2.521920e-09
-1.910000000000000e+00	-1.909999e+00	-2.521910e-09
-1.900000000000000e+00	-1.899999e+00	-2.521900e-09
-1.890000000000000e+00	-1.890000e+00	-2.521890e-09
-1.880000000000000e+00	-1.880000e+00	-2.521880e-09
-1.870000000000000e+00	-1.870000e+00	-2.521870e-09
-1.860000000000000e+00	-1.860000e+00	-2.521860e-09
-1.850000000000000e+00	-1.850000e+00	-2.521850e-09
-1.840000000000000e+00	-1.839999e+00	-2.521840e-09
-1.830000000000000e+00	-1.829999e+00	-2.521830e-09
-1.820000000000000e+00	-1.819999e+00	-2.521820e-09
-1.810000000000000e+00	-1.809999e+00	-2.521810e-09
-1.800000000000000e+00	-1.799999e+00	-2.521800e-09
-1.790000000000000e+00	-1.789999e+00	-2.521790e-09
-1.780000000000000e+00	-1.779999e+00	-2.521780e-09
-1.770000000000000e+00	-1.770000e+00	-2.521770e-09
-1.760000000000000e+00	-1.760000e+00	-2.521760e-09
-1.750000000000000e+00	-1.750000e+00	-2.521750e-09
-1.740000000000000e+00	-1.740000e+00	-2.521740e-09
-1.730000000000000e+00	-1.730000e+00	-2.521730e-09
-1.720000000000000e+00	-1.720000e+00	-2.521720e-09
-1.710000000000000e+00	-1.709999e+00	-2.521710e-09
-1.700000000000000e+00	-1.699999e+00	-2.521700e-09
-1.690000000000000e+00	-1.689999e+00	-2.521690e-09
-1.680000000000000e+00	-1.679999e+00	-2.521680e-09
-1.670000000000000e+00	-1.669999e+00	-2.521670e-09
-1.660000000000000e+00	-1.659999e+00	-2.521660e-09
-1.650000000000000e+00	-1.649999e+00	-2.521650e-09
-1.640000000000000e+00	-1.640000e+00	-2.521640e-09
-1.630000000000000e+00	-1.630000e+00	-2.521630e-09
-1.620000000000000e+00	-1.620000e+00	-2.521620e-09
-1.610000000000000e+00	-1.610000e+00	-2.521610e-09
-1.600000000000000e+00	-1.600000e+00	-2.521600e-09
-1.590000000000000e+00	-1.589999e+00	-2.521590e-09
-1.580000000000000e+00	-1.579999e+00	-2.521580e-09
-1.570000000000000e+00	-1.569999e+00	-2.521570e-09
-1.560000000000000e+00	-1.559999e+00	-2.521560e-09
-1.550000000000000e+00	-1.549999e+00	-2.521550e-09
-1.540000000000000e+00	-1.539999e+00	-2.521540e-09
-1.530000000000000e+00	-1.529999e+00	-2.521530e-09
-1.520000000000000e+00	-1.520000e+00	-2.521520e-09
-1.510000000000000e+00	-1.510000e+00	-2.521510e-09
-1.500000000000000e+00	-1.500000e+00	-2.521500e-09
-1.490000000000000e+00	-1.490000e+00	-2.521490e-09
-1.480000000000000e+00	-1.480000e+00	-2.521480e-09
-1.470000000000000e+00	-1.470000e+00	-2.521470e-09
-1.460000000000000e+00	-1.459999e+00	-2.521460e-09
-1.450000000000000e+00	-1.449999e+00	-2.521450e-09
-1.440000000000000e+00	-1.439999e+00	-2.521440e-09
-1.430000000000000e+00	-1.429999e+00	-2.521430e-09
-1.420000000000000e+00	-1.419999e+00	-2.521420e-09
-1.410000000000000e+00	-1.409999e+00	-2.521410e-09
-1.400000000000000e+00	-1.399999e+00	-2.521400e-09
-1.390000000000000e+00	-1.390000e+00	-2.521390e-09
-1.380000000000000e+00	-1.380000e+00	-2.521380e-09
-1.370000000000000e+00	-1.370000e+00	-2.521370e-09
-1.360000000000000e+00	-1.360000e+00	-2.521360e-09
-1.350000000000000e+00	-1.350000e+00	-2.521350e-09
-1.340000000000000e+00	-1.339999e+00	-2.521340e-09
-1.330000000000000e+00	-1.329999e+00	-2.521330e-09
-1.320000000000000e+00	-1.319999e+00	-2.521320e-09
-1.310000000000000e+00	-1.309999e+00	-2.521310e-09
-1.300000000000000e+00	-1.299999e+00	-2.521300e-09
-1.290000000000000e+00	-1.289999e+00	-2.521290e-09
-1.280000000000000e+00	-1.279999e+00	-2.521280e-09
-1.270000000000000e+00	-1.270000e+00	-2.521270e-09
-1.260000000000000e+00	-1.260000e+00	-2.521260e-09
-1.250000000000000e+00	-1.250000e+00	-2.521250e-09
-1.240000000000000e+00	-1.240000e+00	-2.521240e-09
-1.230000000000000e+00	-1.230000e+00	-2.521230e-09
-1.220000000000000e+00	-1.220000e+00	-2.521220e-09
-1.210000000000000e+00	-1.209999e+00	-2.521210e-09
-1.200000000000000e+00	-1.199999e+00	-2.521200e-09
-1.190000000000000e+00	-1.189999e+00	-2.521190e-09
-1.180000000000000e+00	-1.179999e+00	-2.521180e-09
-1.170000000000000e+00	-1.169999e+00	-2.521170e-09
-1.160000000000000e+00	-1.159999e+00	-2.521160e-09
-1.150000000000000e+00	-1.149999e+00	-2.521150e-09
-1.140000000000000e+00	-1.140000e+00	-2.521140e-09
-1.130000000000000e+00	-1.130000e+00	-2.521130e-09
-1.120000000000000e+00	-1.120000e+00	-2.521120e-09
-1.110000000000000e+00	-1.110000e+00	-2.521110e-09
-1.100000000000000e+00	-1.100000e+00	-2.521100e-09
-1.090000000000000e+00	-1.089999e+00	-2.521090e-09
-1.080000000000000e+00	-1.079999e+00	-2.521080e-09
-1.070000000000000e+00	-1.069999e+00	-2.521070e-09
-1.060000000000000e+00	-1.059999e+00	-2.521060e-09
-1.050000000000000e+00	-1.049999e+00	-2.521050e-09
-1.040000000000000e+00	-1.039999e+00	-2.521040e-09
-1.030000000000000e+00	-1.029999e+00	-2.521030e-09
-1.020000000000000e+00	-1.020000e+00	-2.521020e-09
-1.010000000000000e+00	-1.010000e+00	-2.521010e-09
-1.000000000000000e+00	-9.999995e-01	-2.521000e-09
-9.900000000000002e-01	-9.899995e-01	-2.520990e-09
-9.799999999999995e-01	-9.799995e-01	-2.520980e-09
-9.699999999999998e-01	-9.699995e-01	-2.520970e-09
-9.600000000000000e-01	-9.599995e-01	-2.520960e-09
-9.500000000000002e-01	-9.499995e-01	-2.520950e-09
-9.399999999999995e-01	-9.399995e-01	-2.520940e-09
-9.299999999999997e-01	-9.299995e-01	-2.520930e-09
-9.199999999999999e-01	-9.199995e-01	-2.520920e-09
-9.100000000000001e-01	-9.099995e-01	-2.520910e-09
-9.000000000000004e-01	-8.999995e-01	-2.520900e-09
-8.899999999999997e-01	-8.899995e-01	-2.520890e-09
-8.799999999999999e-01	-8.799995e-01	-2.520880e-09
-8.700000000000001e-01	-8.699995e-01	-2.520870e-09
-8.600000000000003e-01	-8.599995e-01	-2.520860e-09
-8.499999999999996e-01	-8.499995e-01	-2.520850e-09
-8.399999999999999e-01	-8.399995e-01	-2.520840e-09
-8.300000000000001e-01	-8.299995e-01	-2.520830e-09
-8.200000000000003e-01	-8.199995e-01	-2.520820e-09
-8.099999999999996e-01	-8.099995e-01	-2.520810e-09
-7.999999999999998e-01	-7.999995e-01	-2.520800e-09
-7.900000000000000e-01	-7.899995e-01	-2.520790e-09
-7.800000000000002e-01	-7.799995e-01	-2.520780e-09
-7.699999999999996e-01	-7.699995e-01	-2.520770e-09
-7.599999999999998e-01	-7.599995e-01	-2.520760e-09
-7.500000000000000e-01	-7.499995e-01	-2.520750e-09
-7.400000000000002e-01	-7.399995e-01	-2.520740e-09
-7.299999999999995e-01	-7.299995e-01	-2.520730e-09
-7.199999999999998e-01	-7.199995e-01	-2.520720e-09
-7.100000000000000e-01	-7.099995e-01	-2.520710e-09
-7.000000000000002e-01	-6.999995e-01	-2.520700e-09
-6.899999999999995e-01	-6.899995e-01	-2.520689e-09
-6.799999999999997e-01	-6.799995e-01	-2.520679e-09
-6.699999999999999e-01	-6.699995e-01	-2.520669e-09
-6.600000000000001e-01	-6.599995e-01	-2.520659e-09
-6.499999999999995e-01	-6.499995e-01	-2.520649e-09
-6.399999999999997e-01	-6.399995e-01	-2.520638e-09
-6.299999999999999e-01	-6.299995e-01	-2.520628e-09
-6.200000000000001e-01	-6.199995e-01	-2.520617e-09
-6.100000000000003e-01	-6.099995e-01	-2.520606e-09
-5.999999999999996e-01	-5.999995e-01	-2.520596e-09
-5.899999999999999e-01	-5.899995e-01	-2.520584e-09
-5.800000000000001e-01	-5.799995e-01	-2.520573e-09
-5.700000000000003e-01	-5.699995e-01	-2.520561e-09
-5.599999999999996e-01	-5.599995e-01	-2.520549e-09
-5.499999999999998e-01	-5.499995e-01	-2.520536e-09
-5.400000000000000e-01	-5.399995e-01	-2.520523e-09
-5.300000000000002e-01	-5.299995e-01	-2.520509e-09
-5.199999999999996e-01	-5.199995e-01	-2.520494e-09
-5.099999999999998e-01	-5.099995e-01	-2.520478e-09
-5.000000000000000e-01	-4.999995e-01	-2.520459e-09
-4.900000000000002e-01	-4.899995e-01	-2.520439e-09
-4.799999999999995e-01	-4.799995e-01	-2.520417e-09
-4.699999999999998e-01	-4.699995e-01	-2.520391e-09
-4.600000000000000e-01	-4.599995e-01	-2.520362e-09
-4.500000000000002e-01	-4.499995e-01	-2.520327e-09
-4.399999999999995e-01	-4.399995e-01	-2.520287e-09
-4.299999999999997e-01	-4.299995e-01	-2.520239e-09
-4.199999999999999e-01	-4.199995e-01	-2.520182e-09
-4.100000000000001e-01	-4.099995e-01	-2.520113e-09
-3.999999999999995e-01	-3.999995e-01	-2.520030e-09
-3.899999999999997e-01	-3.899995e-01	-2.519929e-09
-3.799999999999999e-01	-3.799995e-01	-2.519805e-09
-3.700000000000001e-01	-3.699995e-01	-2.519653e-09
-3.600000000000003e-01	-3.599995e-01	-2.519466e-09
