V1	V(N002,N003)	Ix(D1:+)
-2.810000000000000e+00	-2.809997e+00	-1.343029e-08
-2.800000000000000e+00	-2.799997e+00	-1.342937e-08
-2.790000000000000e+00	-2.789997e+00	-1.342846e-08
-2.780000000000000e+00	-2.779997e+00	-1.342754e-08
-2.770000000000000e+00	-2.769997e+00	-1.342663e-08
-2.760000000000000e+00	-2.759997e+00	-1.342571e-08
-2.750000000000000e+00	-2.749997e+00	-1.342480e-08
-2.740000000000000e+00	-2.739997e+00	-1.342388e-08
-2.730000000000000e+00	-2.729997e+00	-1.342297e-08
-2.720000000000000e+00	-2.719997e+00	-1.342205e-08
-2.710000000000000e+00	-2.709997e+00	-1.342113e-08
-2.700000000000000e+00	-2.699997e+00	-1.342021e-08
-2.690000000000000e+00	-2.689997e+00	-1.341930e-08
-2.680000000000000e+00	-2.679997e+00	-1.341838e-08
-2.670000000000000e+00	-2.669997e+00	-1.341746e-08
-2.660000000000000e+00	-2.659997e+00	-1.341654e-08
-2.650000000000000e+00	-2.649997e+00	-1.341562e-08
-2.640000000000000e+00	-2.639997e+00	-1.341470e-08
-2.630000000000000e+00	-2.629997e+00	-1.341378e-08
-2.620000000000000e+00	-2.619997e+00	-1.341286e-08
-2.610000000000000e+00	-2.609997e+00	-1.341194e-08
-2.600000000000000e+00	-2.599997e+00	-1.341102e-08
-2.590000000000000e+00	-2.589997e+00	-1.341010e-08
-2.580000000000000e+00	-2.579997e+00	-1.340917e-08
-2.570000000000000e+00	-2.569997e+00	-1.340825e-08
-2.560000000000000e+00	-2.559997e+00	-1.340733e-08
-2.550000000000000e+00	-2.549997e+00	-1.340640e-08
-2.540000000000000e+00	-2.539997e+00	-1.340548e-08
-2.530000000000000e+00	-2.529997e+00	-1.340456e-08
-2.520000000000000e+00	-2.519997e+00	-1.340363e-08
-2.510000000000000e+00	-2.509997e+00	-1.340271e-08
-2.500000000000000e+00	-2.499997e+00	-1.340178e-08
-2.490000000000000e+00	-2.489997e+00	-1.340085e-08
-2.480000000000000e+00	-2.479997e+00	-1.339993e-08
-2.470000000000000e+00	-2.469997e+00	-1.339900e-08
-2.460000000000000e+00	-2.459997e+00	-1.339807e-08
-2.450000000000000e+00	-2.449997e+00	-1.339715e-08
-2.440000000000000e+00	-2.439997e+00	-1.339622e-08
-2.430000000000000e+00	-2.429997e+00	-1.339529e-08
-2.420000000000000e+00	-2.419997e+00	-1.339436e-08
-2.410000000000000e+00	-2.409997e+00	-1.339343e-08
-2.400000000000000e+00	-2.399997e+00	-1.339250e-08
-2.390000000000000e+00	-2.389997e+00	-1.339157e-08
-2.380000000000000e+00	-2.379997e+00	-1.339064e-08
-2.370000000000000e+00	-2.369997e+00	-1.338971e-08
-2.360000000000000e+00	-2.359997e+00	-1.338878e-08
-2.350000000000000e+00	-2.349997e+00	-1.338785e-08
-2.340000000000000e+00	-2.339997e+00	-1.338691e-08
-2.330000000000000e+00	-2.329997e+00	-1.338598e-08
-2.320000000000000e+00	-2.319997e+00	-1.338505e-08
-2.310000000000000e+00	-2.309997e+00	-1.338411e-08
-2.300000000000000e+00	-2.299997e+00	-1.338318e-08
-2.290000000000000e+00	-2.289997e+00	-1.338224e-08
-2.280000000000000e+00	-2.279997e+00	-1.338131e-08
-2.270000000000000e+00	-2.269997e+00	-1.338037e-08
-2.260000000000000e+00	-2.259997e+00	-1.337944e-08
-2.250000000000000e+00	-2.249997e+00	-1.337850e-08
-2.240000000000000e+00	-2.239997e+00	-1.337756e-08
-2.230000000000000e+00	-2.229997e+00	-1.337662e-08
-2.220000000000000e+00	-2.219997e+00	-1.337568e-08
-2.210000000000000e+00	-2.209997e+00	-1.337474e-08
-2.200000000000000e+00	-2.199997e+00	-1.337381e-08
-2.190000000000000e+00	-2.189997e+00	-1.337287e-08
-2.180000000000000e+00	-2.179997e+00	-1.337192e-08
-2.170000000000000e+00	-2.169997e+00	-1.337098e-08
-2.160000000000000e+00	-2.159997e+00	-1.337004e-08
-2.150000000000000e+00	-2.149997e+00	-1.336910e-08
-2.140000000000000e+00	-2.139997e+00	-1.336816e-08
-2.130000000000000e+00	-2.129997e+00	-1.336721e-08
-2.120000000000000e+00	-2.119997e+00	-1.336627e-08
-2.110000000000000e+00	-2.109997e+00	-1.336533e-08
-2.100000000000000e+00	-2.099997e+00	-1.336438e-08
-2.090000000000000e+00	-2.089997e+00	-1.336344e-08
-2.080000000000000e+00	-2.079997e+00	-1.336249e-08
-2.070000000000000e+00	-2.069997e+00	-1.336154e-08
-2.060000000000000e+00	-2.059997e+00	-1.336060e-08
-2.050000000000000e+00	-2.049997e+00	-1.335965e-08
-2.040000000000000e+00	-2.039997e+00	-1.335870e-08
-2.030000000000000e+00	-2.029997e+00	-1.335775e-08
-2.020000000000000e+00	-2.019997e+00	-1.335680e-08
-2.010000000000000e+00	-2.009997e+00	-1.335585e-08
-2.000000000000000e+00	-1.999997e+00	-1.335490e-08
-1.990000000000000e+00	-1.989997e+00	-1.335395e-08
-1.980000000000000e+00	-1.979997e+00	-1.335300e-08
-1.970000000000000e+00	-1.969997e+00	-1.335205e-08
-1.960000000000000e+00	-1.959997e+00	-1.335110e-08
-1.950000000000000e+00	-1.949997e+00	-1.335014e-08
-1.940000000000000e+00	-1.939997e+00	-1.334919e-08
-1.930000000000000e+00	-1.929997e+00	-1.334823e-08
-1.920000000000000e+00	-1.919997e+00	-1.334728e-08
-1.910000000000000e+00	-1.909997e+00	-1.334632e-08
-1.900000000000000e+00	-1.899997e+00	-1.334537e-08
