time	V(N003,N002)
8.613217124459945e-02	3.468780e+00
8.637631186959945e-02	3.325713e+00
8.662045249459945e-02	3.156914e+00
8.686459311959945e-02	2.963511e+00
8.710873374459945e-02	2.746824e+00
8.735287436959945e-02	2.508369e+00
8.759701499459945e-02	2.249886e+00
8.784115561959945e-02	1.973375e+00
8.808529624459945e-02	1.681182e+00
8.832943686959945e-02	1.376180e+00
8.857357749459945e-02	1.062199e+00
8.881771811959945e-02	7.455795e-01
8.906185874459945e-02	4.401562e-01
8.930599936959945e-02	1.877037e-01
8.955013999459945e-02	4.343197e-02
8.978336916966377e-02	2.397686e-03
8.993582238730907e-02	6.131455e-05
9.008007154345792e-02	2.833605e-04
9.032421216845792e-02	1.439668e-02
9.056835279345792e-02	9.678188e-02
9.080539360989753e-02	2.903696e-01
9.103697301971324e-02	5.605640e-01
9.128111364471324e-02	8.734715e-01
9.152525426971324e-02	1.189693e+00
9.176939489471324e-02	1.500621e+00
9.201353551971324e-02	1.801062e+00
9.225767614471324e-02	2.087306e+00
9.250181676971324e-02	2.356798e+00
9.274595739471324e-02	2.607406e+00
9.299009801971324e-02	2.837250e+00
9.323423864471324e-02	3.044684e+00
9.347837926971324e-02	3.228276e+00
9.372251989471324e-02	3.386785e+00
9.396666051971324e-02	3.519158e+00
9.421080114471324e-02	3.624528e+00
9.445494176971324e-02	3.702209e+00
9.469908239471324e-02	3.751700e+00
9.494322301971324e-02	3.772681e+00
9.518736364471324e-02	3.765018e+00
9.543150426971324e-02	3.728759e+00
9.567564489471324e-02	3.664138e+00
9.591978551971324e-02	3.571573e+00
9.616392614471324e-02	3.451663e+00
9.640806676971324e-02	3.305191e+00
9.665220739471324e-02	3.133124e+00
9.689634801971324e-02	2.936614e+00
9.714048864471324e-02	2.717005e+00
9.738462926971324e-02	2.475842e+00
9.762876989471324e-02	2.214894e+00
9.787291051971324e-02	1.936202e+00
9.811705114471324e-02	1.642166e+00
9.836119176971324e-02	1.335751e+00
9.860533239471324e-02	1.020972e+00
9.884947301971324e-02	7.047119e-01
9.909361364471324e-02	4.028846e-01
9.933775426971324e-02	1.536928e-01
9.953355890272901e-02	4.026437e-02
9.975082728174969e-02	2.930045e-03
9.987676776881564e-02	1.148209e-04
9.999479486769312e-02	6.048055e-05
1.002308490654481e-01	4.273444e-03
1.004749896904481e-01	4.670835e-02
1.006800983799980e-01	1.653915e-01
1.008766324603382e-01	3.650110e-01
1.011207730853382e-01	6.666325e-01
1.013649137103382e-01	9.823028e-01
1.016090543353382e-01	1.297531e+00
1.018531949603382e-01	1.605204e+00
1.020973355853382e-01	1.901051e+00
1.023414762103382e-01	2.181806e+00
1.025856168353382e-01	2.445047e+00
1.028297574603382e-01	2.688727e+00
1.030738980853382e-01	2.911053e+00
1.033180387103382e-01	3.110455e+00
1.035621793353382e-01	3.285567e+00
1.038063199603382e-01	3.435215e+00
1.040504605853382e-01	3.558408e+00
1.042946012103382e-01	3.654342e+00
1.045387418353382e-01	3.722395e+00
1.047828824603382e-01	3.762126e+00
1.050270230853382e-01	3.773281e+00
1.052711637103382e-01	3.755787e+00
1.055153043353382e-01	3.709758e+00
1.057594449603382e-01	3.635489e+00
1.060035855853382e-01	3.533461e+00
1.062477262103382e-01	3.404336e+00
1.064918668353382e-01	3.248960e+00
1.067360074603382e-01	3.068364e+00
1.069801480853382e-01	2.863765e+00
1.072242887103382e-01	2.636572e+00
1.074684293353382e-01	2.388406e+00
1.077125699603382e-01	2.121123e+00
1.079567105853382e-01	1.836870e+00
1.082008512103382e-01	1.538213e+00
1.084449918353382e-01	1.228395e+00
1.086891324603382e-01	9.122013e-01
1.089332730853382e-01	5.982670e-01
1.091774137103382e-01	3.098608e-01
1.094215543353382e-01	9.185171e-02
1.095902497975726e-01	1.907042e-02
1.097769616625952e-01	1.521870e-03
1.099316476968795e-01	6.976724e-05
1.100827888636008e-01	3.057271e-04
1.103269294886008e-01	1.482965e-02
1.105710701136008e-01	9.640992e-02
1.107947171905052e-01	2.777990e-01
1.110275302425158e-01	5.488183e-01
1.112716708675158e-01	8.612017e-01
1.115158114925158e-01	1.177487e+00
1.117599521175158e-01	1.488749e+00
1.120040927425158e-01	1.789687e+00
1.122482333675158e-01	2.076532e+00
1.124923739925158e-01	2.346713e+00
1.127365146175158e-01	2.598088e+00
1.129806552425158e-01	2.828766e+00
